Numéro Compte	0000000S000
Type	CCP
Compte tenu en  	euros
Date            	15/03/2026
Solde (EUROS)   	1234,56

Date	Libellé	Montant(EUROS)
15/03/2026	"ACHAT CB SAMPLE MARKET 12.03.26 EUR    45,20 CARTE NUMERO                111  "	-45,20
14/03/2026	"ACHAT CB CAFÉ DES ARTS 13.03.26 CARTE NUMERO                111  "	-8,50
13/03/2026	"ACHAT CB PAYPAL  SAMPLE 01.03.26 CARTE NUMERO                111  "	-24,90
12/03/2026	"VIREMENT SALAIRE SAMPLE EMPLOYER SA"	2200,00
11/03/2026	"VIREMENT INSTANTANE A SAMPLE PERSON"	-150,00
10/03/2026	"ACHAT CB SAMPLE BAKERY 09.03.26 CARTE NUMERO                111  "	-13,00
10/03/2026	"ACHAT CB SAMPLE KIOSK 09.03.26 CARTE NUMERO                111  "	-13,00
09/03/2026	"ACHAT CB BEER KING SAMPLE 08.03.26 CARTE NUMERO                111  "	-13,00
09/03/2026	"ACHAT CB BEER KING SAMPLE 08.03.26 CARTE NUMERO                111  "	-13,00
09/03/2026	"ACHAT CB BEER KING SAMPLE 08.03.26 CARTE NUMERO                111  "	-13,00
